paper_id,title,abstract,category,year
169,Cell Segmentation: Lesion Detection and Question Answering,"We study lesion detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses satellite imagery, feature extractor, and generalization on ICCV style tasks. Several experiments also touch on neighboring themes such as calibration curve and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2022
170,Benchmarking Robustness in Scientific Imaging,"We study microscopy for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses object detection, robustness, and embedding model on MICCAI style tasks. Several experiments also touch on neighboring themes such as representation learning and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2023
171,A Comparative Study of Satellite Imagery for Scientific Workflows,"We study satellite imagery for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses visual backbone, benchmark, and evaluation on CVPR style tasks. Several experiments also touch on neighboring themes such as instrument drift and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2024
172,Scientific Figure Parsing for Scientific Imaging Study 5,"We study object detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses image segmentation, feature extractor, and transfer learning on ICCV style tasks. Several experiments also touch on neighboring themes such as benchmark suite and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2025
173,Microscopy Vision Transformers: Visual Backbone and Representation Learning,"We study visual backbone for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses lesion detection, robustness, and uncertainty on MICCAI style tasks. Several experiments also touch on neighboring themes such as detector response and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2020
174,Benchmarking Benchmark in Scientific Imaging,"We study image segmentation for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses microscopy, benchmark, and robustness on CVPR style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2021
175,A Comparative Study of Lesion Detection for Scientific Workflows,"We study lesion detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses satellite imagery, feature extractor, and ablation on ICCV style tasks. Several experiments also touch on neighboring themes such as calibration curve and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2022
176,Radiology Image Classification for Scientific Imaging Study 9,"We study microscopy for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses object detection, robustness, and scientific workflow on MICCAI style tasks. Several experiments also touch on neighboring themes such as representation learning and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2023
177,Scientific Figure Parsing: Satellite Imagery and Posterior Intervals,"We study satellite imagery for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses visual backbone, benchmark, and benchmark on CVPR style tasks. Several experiments also touch on neighboring themes such as instrument drift and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2024
178,Benchmarking Feature Extractor in Scientific Imaging,"We study object detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses image segmentation, feature extractor, and dataset on ICCV style tasks. Several experiments also touch on neighboring themes such as benchmark suite and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2025
179,A Comparative Study of Visual Backbone for Scientific Workflows,"We study visual backbone for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses lesion detection, robustness, and generalization on MICCAI style tasks. Several experiments also touch on neighboring themes such as detector response and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2020
180,Remote Sensing Detection for Scientific Imaging Study 13,"We study image segmentation for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses microscopy, benchmark, and embedding model on CVPR style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2021
181,Radiology Image Classification: Lesion Detection and Causal Effect,"We study lesion detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses satellite imagery, feature extractor, and evaluation on ICCV style tasks. Several experiments also touch on neighboring themes such as calibration curve and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2022
182,Benchmarking Robustness in Scientific Imaging,"We study microscopy for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses object detection, robustness, and transfer learning on MICCAI style tasks. Several experiments also touch on neighboring themes such as representation learning and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2023
183,A Comparative Study of Satellite Imagery for Scientific Workflows,"We study satellite imagery for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses visual backbone, benchmark, and uncertainty on CVPR style tasks. Several experiments also touch on neighboring themes such as instrument drift and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2024
184,Cell Segmentation for Scientific Imaging Study 17,"We study object detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses image segmentation, feature extractor, and robustness on ICCV style tasks. Several experiments also touch on neighboring themes such as benchmark suite and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2025
185,Remote Sensing Detection: Visual Backbone and Calibration Curve,"We study visual backbone for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses lesion detection, robustness, and ablation on MICCAI style tasks. Several experiments also touch on neighboring themes such as detector response and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2020
186,Benchmarking Benchmark in Scientific Imaging,"We study image segmentation for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses microscopy, benchmark, and scientific workflow on CVPR style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2021
187,A Comparative Study of Lesion Detection for Scientific Workflows,"We study lesion detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses satellite imagery, feature extractor, and benchmark on ICCV style tasks. Several experiments also touch on neighboring themes such as calibration curve and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2022
188,Microscopy Vision Transformers for Scientific Imaging Study 21,"We study microscopy for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses object detection, robustness, and dataset on MICCAI style tasks. Several experiments also touch on neighboring themes such as representation learning and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2023
189,Cell Segmentation: Satellite Imagery and Question Answering,"We study satellite imagery for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses visual backbone, benchmark, and generalization on CVPR style tasks. Several experiments also touch on neighboring themes such as instrument drift and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2024
190,Benchmarking Feature Extractor in Scientific Imaging,"We study object detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses image segmentation, feature extractor, and embedding model on ICCV style tasks. Several experiments also touch on neighboring themes such as benchmark suite and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2025
191,A Comparative Study of Visual Backbone for Scientific Workflows,"We study visual backbone for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses lesion detection, robustness, and evaluation on MICCAI style tasks. Several experiments also touch on neighboring themes such as detector response and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2020
192,Scientific Figure Parsing for Scientific Imaging Study 25,"We study image segmentation for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses microscopy, benchmark, and transfer learning on CVPR style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2021
193,Microscopy Vision Transformers: Lesion Detection and Representation Learning,"We study lesion detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses satellite imagery, feature extractor, and uncertainty on ICCV style tasks. Several experiments also touch on neighboring themes such as calibration curve and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2022
194,Benchmarking Robustness in Scientific Imaging,"We study microscopy for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses object detection, robustness, and robustness on MICCAI style tasks. Several experiments also touch on neighboring themes such as representation learning and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2023
195,A Comparative Study of Satellite Imagery for Scientific Workflows,"We study satellite imagery for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses visual backbone, benchmark, and ablation on CVPR style tasks. Several experiments also touch on neighboring themes such as instrument drift and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2024
196,Radiology Image Classification for Scientific Imaging Study 29,"We study object detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses image segmentation, feature extractor, and scientific workflow on ICCV style tasks. Several experiments also touch on neighboring themes such as benchmark suite and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2025
197,Scientific Figure Parsing: Visual Backbone and Posterior Intervals,"We study visual backbone for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses lesion detection, robustness, and benchmark on MICCAI style tasks. Several experiments also touch on neighboring themes such as detector response and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2020
198,Benchmarking Benchmark in Scientific Imaging,"We study image segmentation for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses microscopy, benchmark, and dataset on CVPR style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2021
199,A Comparative Study of Lesion Detection for Scientific Workflows,"We study lesion detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses satellite imagery, feature extractor, and generalization on ICCV style tasks. Several experiments also touch on neighboring themes such as calibration curve and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2022
200,Remote Sensing Detection for Scientific Imaging Study 33,"We study microscopy for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses object detection, robustness, and embedding model on MICCAI style tasks. Several experiments also touch on neighboring themes such as representation learning and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2023
201,Radiology Image Classification: Satellite Imagery and Causal Effect,"We study satellite imagery for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses visual backbone, benchmark, and evaluation on CVPR style tasks. Several experiments also touch on neighboring themes such as instrument drift and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2024
202,Benchmarking Feature Extractor in Scientific Imaging,"We study object detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses image segmentation, feature extractor, and transfer learning on ICCV style tasks. Several experiments also touch on neighboring themes such as benchmark suite and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2025
203,A Comparative Study of Visual Backbone for Scientific Workflows,"We study visual backbone for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses lesion detection, robustness, and uncertainty on MICCAI style tasks. Several experiments also touch on neighboring themes such as detector response and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2020
204,Cell Segmentation for Scientific Imaging Study 37,"We study image segmentation for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses microscopy, benchmark, and robustness on CVPR style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2021
205,Remote Sensing Detection: Lesion Detection and Calibration Curve,"We study lesion detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses satellite imagery, feature extractor, and ablation on ICCV style tasks. Several experiments also touch on neighboring themes such as calibration curve and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2022
206,Benchmarking Robustness in Scientific Imaging,"We study microscopy for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses object detection, robustness, and scientific workflow on MICCAI style tasks. Several experiments also touch on neighboring themes such as representation learning and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2023
207,A Comparative Study of Satellite Imagery for Scientific Workflows,"We study satellite imagery for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses visual backbone, benchmark, and benchmark on CVPR style tasks. Several experiments also touch on neighboring themes such as instrument drift and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2024
208,Microscopy Vision Transformers for Scientific Imaging Study 41,"We study object detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses image segmentation, feature extractor, and dataset on ICCV style tasks. Several experiments also touch on neighboring themes such as benchmark suite and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2025
209,Cell Segmentation: Visual Backbone and Question Answering,"We study visual backbone for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses lesion detection, robustness, and generalization on MICCAI style tasks. Several experiments also touch on neighboring themes such as detector response and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2020
210,Benchmarking Benchmark in Scientific Imaging,"We study image segmentation for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses microscopy, benchmark, and embedding model on CVPR style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2021
211,A Comparative Study of Lesion Detection for Scientific Workflows,"We study lesion detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses satellite imagery, feature extractor, and evaluation on ICCV style tasks. Several experiments also touch on neighboring themes such as calibration curve and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2022
212,Scientific Figure Parsing for Scientific Imaging Study 45,"We study microscopy for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses object detection, robustness, and transfer learning on MICCAI style tasks. Several experiments also touch on neighboring themes such as representation learning and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2023
213,Microscopy Vision Transformers: Satellite Imagery and Representation Learning,"We study satellite imagery for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses visual backbone, benchmark, and uncertainty on CVPR style tasks. Several experiments also touch on neighboring themes such as instrument drift and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2024
214,Benchmarking Feature Extractor in Scientific Imaging,"We study object detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses image segmentation, feature extractor, and robustness on ICCV style tasks. Several experiments also touch on neighboring themes such as benchmark suite and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2025
215,A Comparative Study of Visual Backbone for Scientific Workflows,"We study visual backbone for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses lesion detection, robustness, and ablation on MICCAI style tasks. Several experiments also touch on neighboring themes such as detector response and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2020
216,Radiology Image Classification for Scientific Imaging Study 49,"We study image segmentation for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses microscopy, benchmark, and scientific workflow on CVPR style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2021
217,Scientific Figure Parsing: Lesion Detection and Posterior Intervals,"We study lesion detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses satellite imagery, feature extractor, and benchmark on ICCV style tasks. Several experiments also touch on neighboring themes such as calibration curve and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2022
218,Benchmarking Robustness in Scientific Imaging,"We study microscopy for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses object detection, robustness, and dataset on MICCAI style tasks. Several experiments also touch on neighboring themes such as representation learning and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2023
219,A Comparative Study of Satellite Imagery for Scientific Workflows,"We study satellite imagery for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses visual backbone, benchmark, and generalization on CVPR style tasks. Several experiments also touch on neighboring themes such as instrument drift and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2024
220,Remote Sensing Detection for Scientific Imaging Study 53,"We study object detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses image segmentation, feature extractor, and embedding model on ICCV style tasks. Several experiments also touch on neighboring themes such as benchmark suite and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2025
221,Radiology Image Classification: Visual Backbone and Causal Effect,"We study visual backbone for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses lesion detection, robustness, and evaluation on MICCAI style tasks. Several experiments also touch on neighboring themes such as detector response and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2020
222,Benchmarking Benchmark in Scientific Imaging,"We study image segmentation for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses microscopy, benchmark, and transfer learning on CVPR style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2021
223,A Comparative Study of Lesion Detection for Scientific Workflows,"We study lesion detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses satellite imagery, feature extractor, and uncertainty on ICCV style tasks. Several experiments also touch on neighboring themes such as calibration curve and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2022
224,Cell Segmentation for Scientific Imaging Study 57,"We study microscopy for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses object detection, robustness, and robustness on MICCAI style tasks. Several experiments also touch on neighboring themes such as representation learning and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2023
225,Remote Sensing Detection: Satellite Imagery and Calibration Curve,"We study satellite imagery for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses visual backbone, benchmark, and ablation on CVPR style tasks. Several experiments also touch on neighboring themes such as instrument drift and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2024
226,Benchmarking Feature Extractor in Scientific Imaging,"We study object detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses image segmentation, feature extractor, and scientific workflow on ICCV style tasks. Several experiments also touch on neighboring themes such as benchmark suite and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2025
227,A Comparative Study of Visual Backbone for Scientific Workflows,"We study visual backbone for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses lesion detection, robustness, and benchmark on MICCAI style tasks. Several experiments also touch on neighboring themes such as detector response and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2020
228,Microscopy Vision Transformers for Scientific Imaging Study 61,"We study image segmentation for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses microscopy, benchmark, and dataset on CVPR style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2021
229,Cell Segmentation: Lesion Detection and Question Answering,"We study lesion detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses satellite imagery, feature extractor, and generalization on ICCV style tasks. Several experiments also touch on neighboring themes such as calibration curve and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2022
230,Benchmarking Robustness in Scientific Imaging,"We study microscopy for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses object detection, robustness, and embedding model on MICCAI style tasks. Several experiments also touch on neighboring themes such as representation learning and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2023
231,A Comparative Study of Satellite Imagery for Scientific Workflows,"We study satellite imagery for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses visual backbone, benchmark, and evaluation on CVPR style tasks. Several experiments also touch on neighboring themes such as instrument drift and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2024
232,Scientific Figure Parsing for Scientific Imaging Study 65,"We study object detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses image segmentation, feature extractor, and transfer learning on ICCV style tasks. Several experiments also touch on neighboring themes such as benchmark suite and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2025
233,Microscopy Vision Transformers: Visual Backbone and Representation Learning,"We study visual backbone for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses lesion detection, robustness, and uncertainty on MICCAI style tasks. Several experiments also touch on neighboring themes such as detector response and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2020
234,Benchmarking Benchmark in Scientific Imaging,"We study image segmentation for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses microscopy, benchmark, and robustness on CVPR style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2021
235,A Comparative Study of Lesion Detection for Scientific Workflows,"We study lesion detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses satellite imagery, feature extractor, and ablation on ICCV style tasks. Several experiments also touch on neighboring themes such as calibration curve and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2022
236,Radiology Image Classification for Scientific Imaging Study 69,"We study microscopy for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses object detection, robustness, and scientific workflow on MICCAI style tasks. Several experiments also touch on neighboring themes such as representation learning and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2023
237,Scientific Figure Parsing: Satellite Imagery and Posterior Intervals,"We study satellite imagery for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses visual backbone, benchmark, and benchmark on CVPR style tasks. Several experiments also touch on neighboring themes such as instrument drift and posterior intervals, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2024
238,Benchmarking Feature Extractor in Scientific Imaging,"We study object detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses image segmentation, feature extractor, and dataset on ICCV style tasks. Several experiments also touch on neighboring themes such as benchmark suite and representation learning, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2025
239,A Comparative Study of Visual Backbone for Scientific Workflows,"We study visual backbone for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses lesion detection, robustness, and generalization on MICCAI style tasks. Several experiments also touch on neighboring themes such as detector response and question answering, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2020
240,Remote Sensing Detection for Scientific Imaging Study 73,"We study image segmentation for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses microscopy, benchmark, and embedding model on CVPR style tasks. Several experiments also touch on neighboring themes such as hyperparameter search and calibration curve, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2021
241,Radiology Image Classification: Lesion Detection and Causal Effect,"We study lesion detection for scientific imaging with comparisons against strong baselines and shared evaluation datasets. The paper discusses satellite imagery, feature extractor, and evaluation on ICCV style tasks. Several experiments also touch on neighboring themes such as calibration curve and causal effect, making label boundaries partially overlapping rather than perfectly clean. Results highlight transfer, uncertainty, and practical deployment tradeoffs in scientific workflows.",cs.CV,2022
